Date,DAPrice
01/01/2015,41.094
01/02/2015,46.3782
01/03/2015,42.206
01/04/2015,41.3642
01/05/2015,37.379
01/06/2015,38.7127
01/07/2015,42.1676
01/08/2015,38.871
01/09/2015,39.6687
01/10/2015,41.4308
01/11/2015,38.4492
01/12/2015,33.7274
01/01/2016,31.5714
01/02/2016,25.1911
01/03/2016,26.145
01/04/2016,25.3206
01/05/2016,27.1915
01/06/2016,32.5863
01/07/2016,33.0788
01/08/2016,28.3573
01/09/2016,32.854
01/10/2016,37.9952
01/11/2016,42.8476
01/12/2016,43.4857
01/01/2017,50.7653
01/02/2017,43.0623
01/03/2017,34.5279
01/04/2017,35.3654
01/05/2017,35.0621
01/06/2017,33.2355
01/07/2017,34.523
01/08/2017,33.0489
01/09/2017,38.7552
01/10/2017,39.8729
01/11/2017,47.2659
01/12/2017,46.4797
01/01/2018,38.7943
01/02/2018,44.5577
01/03/2018,51.8206
01/04/2018,39.7432
01/05/2018,47.0491
01/06/2018,51.373
01/07/2018,53.2905
01/08/2018,57.9945
01/09/2018,63.3174
01/10/2018,59.9405
01/11/2018,62.2831
01/12/2018,59.6311
01/01/2019,58.3339
01/02/2019,46.8571
01/03/2019,40.5246
01/04/2019,40.8246
01/05/2019,40.2024
01/06/2019,36.2424
01/07/2019,39.5876
01/08/2019,37.4413
01/09/2019,36.5676
01/10/2019,37.9428
01/11/2019,42.7099
01/12/2019,37.3946
01/01/2020,37.1026
01/02/2020,29.5578
01/03/2020,24.74
01/04/2020,19.0097
01/05/2020,17.6484
01/06/2020,26.2266
01/07/2020,29.35
01/08/2020,34.0243
01/09/2020,42.6225
01/10/2020,37.1132
01/11/2020,41.0431
01/12/2020,48.2561
01/01/2021,53.6342
01/02/2021,49.2328
01/03/2021,48.876
01/04/2021,53.825
01/05/2021,56.134
01/06/2021,76.4586
01/07/2021,82.5843
01/08/2021,86.6192
01/09/2021,136.4309
01/10/2021,163.6731
01/11/2021,186.2455
01/12/2021,237.8121
01/01/2022,189.1006
01/02/2022,168.3679
01/03/2022,261.1786
01/04/2022,195.2011
01/05/2022,181.3685
01/06/2022,210.5527
01/07/2022,306.6041
01/08/2022,447.0571
01/09/2022,341.8791
01/10/2022,155.4064
01/11/2022,179.1943
01/12/2022,258.8878
01/01/2023,126.0088
01/02/2023,134.8504
01/03/2023,104.5573
01/04/2023,98.6227
01/05/2023,77.9462
01/06/2023,91.9818
01/07/2023,71.7921
01/08/2023,91.3275
01/09/2023,98.6924
01/10/2023,90.2442
01/11/2023,94.4069
01/12/2023,73.1884
01/01/2024,78.3638
01/02/2024,63.8908
01/03/2024,63.4108
01/04/2024,58.3446
01/05/2024,65.7279
01/06/2024,67.9997
01/07/2024,65.0362
01/08/2024,77.1045
